location,date,thanks,text
"Montgomery, TX","Sept. 21, 2025 To the point. T",3,To the point. T-Mobile service is just bad.. period. Horribly weak signals in home with router and upgrade. The saddest weakest service I have EVER had the displeasure of dealing with. I really tried to hang on because their call in centers aren't bad but their coverage is well I already said it.. Gonna have to give Starlink a try. I'm thinking.
"US, US","Sept. 21, 2025 Company used to be consumer friendly, they have totally changed as they got bigger. They didn",21,"Company used to be consumer friendly, they have totally changed as they got bigger. They didn't honor a recent upgrade promo that was clearly outlined on their site and told me straight out ""too bad"". The old t mobile wouldn't do that. Their customer support is lousy, home internet stinks. Be careful dealing with these clowns. Look at their rating here - 1.4!! Awful..."
TX,"Sept. 21, 2025 Just gonna keep it short. Past couple weeks it",21,"Just gonna keep it short. Past couple weeks it's been very inconsistent. And it always happens at the worst time such as; trying to send a text, search up something, trying to call, or even a game of clash. I don’t know what’s happening with the servers right now but man has it been frustrating to deal with."
"Des Moines, IA","Sept. 21, 2025 Very slow to open apps and download or upload. Painful",21,"Very slow to open apps and download or upload. Painful! Turn tv or devices on and wait and then wait some more. When trying to connect to Amazon Prime, Netflix, You Tube, Paramount, Painful and should we still have connectivity this slow in 2025? Mediacom much faster, the only issue with them are the bait & switch rates that rise unsuspectingly. Shady shady."
"Kingsport, TN","Sept. 20, 2025 I heard this was a decent company. Well I gave them a try and well needless to say what a mistake. I waited on my box in the mail which was 3 days late then I had to set it up and from the time I plug it in the signal was so bad. I used my data on my phone. What a joke for internet. Then didn",20,I heard this was a decent company. Well I gave them a try and well needless to say what a mistake. I waited on my box in the mail which was 3 days late then I had to set it up and from the time I plug it in the signal was so bad. I used my data on my phone. What a joke for internet. Then didn't even have it a month and because I didn't pay when they wanted they cut it off and charged me for 2 months. Double my bill a little more but if you're looking for internet you don't want to use this Company. I'll never recommend them to anyone and by the way I didn't even use their internet 2 hours in that month. Check somewhere else.
"Las Vegas, NV","Sept. 20, 2025 I spent a week bouncing between store to verify my ID. Only to find out that free phone isn",20,"I spent a week bouncing between store to verify my ID. Only to find out that free phone isn't free! You have to buy it first then they give you a monthly credit til the phone is paid off. BS! SCAM!! They say your ""deposit' is based on your credit. It determines how much you pay upfront for your free phone. If give you something for free then have you pay me for it, stating I will repay you on monthly payments, that is not free!"
"Overland Park, KS","Sept. 20, 2025 I went to a store to request a phone order change but was told I had to call the customer service line. I",20,I went to a store to request a phone order change but was told I had to call the customer service line. I’ve now been waiting in the queue for an hour and still counting. Long time customer with this carrier. Considering switching to Verizon.
"Danvers, MA","Sept. 20, 2025 People please listen to this message about T",4,"People please listen to this message about T-Mobile customers care.  They are taking your information and using it without your permission to make payments and charging you a certain amount every week, when you call tmobile. I will cancel my services with this company and look for another more reliable one."
"Cedar City, UT","Sept. 20, 2025 So many hidden fees and so many",20,"So many hidden fees and so many ""late"" charges. Apparently I've been paying them since the 1st bill. I do not recommend T-Mobile. They do have good customer service as in people that answer the phone but the fees and the bills go on forever. I canceled service back in August, and I'm STILL getting bills for ""equipment fees."" I already paid for the phone...."
"Ladson, SC","Sept. 20, 2025 I paid my balance on my account and was promised that my account would be re",2,"I want T-Mobile to refund me my money or promise what they promised. I was even sent to the store to verify me since now my account showed fraud. I provided my driver's license and while in store, the rep provided all his credentials and asked the customer care rep on phone if that was all that was needed from the store rep and I was told that was it. I was then later told, after being on phone for 2.5 hours that I would then have to return to the store to do that process all over again after waiting in store for 45 min, because T-Mobile was incompetent in doing it right the first time. This whole day has been spent trying to something simple and it turned out to be a nightmare after all of this, I was still hung up on without a call back and still not corrected my issues."
"Salem, WV","Sept. 20, 2025 I experienced discrimination at T",2,"So I called customer care, I ended up canceling my services and moving to another carrier. Fast forward two months, and they have been billing my card monthly so I disputed with my credit card. Now I get 4 calls a day. They will not talk to me because I don’t have a pin. The bypass team refuses to call for weeks. Finally, one calls me and he hangs up on me. They keep saying I have to go to a store. I can’t mentally go to a store after the embarrassment that was caused on my last visit."
"Dallas, TX",9/20/2025 0:00,2,T-Mobile is one of the biggest scams. Why should I have to pay over 4000 dollars a year for internet and shitty ass service. They won't work with you. They try to so well there's a promo going on. Well how about charge me for what the service is worth. They charge you because they can and laugh about it when you get the plan. And they don't pay taxes at all at the end of the year. But they make us pay all these surcharges and pocket the money. It's a joke.
"Houston, TX","Sept. 19, 2025 This company stole my last payment to unblock my phone. They can",19,This company stole my last payment to unblock my phone. They can’t find where the money goes. I can provide with my name and number to any manager who wants to discuss the details and I can provide without any problem.
"Kansas City, MO","Sept. 19, 2025 I strongly advise you not spend the extra money on their protection program. It",19,"I strongly suggest you don't waste your money on the protection. And by the way, there's a assured authorized repair store not two blocks from my house. They indicated sure they can replace it. But Assurant themselves gave me a bunch of bullshit. Don't buy the protection! Read the reviews on Assurant wireless website and Google reviews. It's ridiculous. I wish I would have read it before wasting my money."
"Atlanta, GA","Sept. 19, 2025 I",19,I’ve been with T Mobile about 7 + years and I’ve never experienced so many discrepancies with a phone company that’s lied about the billing. I’ve been over charged every month since I started service with them. I would absolutely not refer them to anyone not even an enemy!!!!🤬🤬🤬🤬🤬
"Lithia Springs, GA","Sept. 19, 2025 T Mobile is horrible. The price looks appealing, however they do not follow through on their word. Never swapped my account over as they never kept 3 appointments. However they debited my account on August which they refunded immediately without questions. However they did not removed my card from their system and this month September it happened again. Frustrated I call, was told it would take 24 to get an approval, but I pressed and asked what was different this month, they wanted to argue, refuse to get a supervisor on the phone. I have now been hung on 3 different times. Thanks for your vote",19,"T Mobile is horrible. The price looks appealing, however they do not follow through on their word. Never swapped my account over as they never kept 3 appointments. However they debited my account on August which they refunded immediately without questions. However they did not removed my card from their system and this month September it happened again. Frustrated I call, was told it would take 24 to get an approval, but I pressed and asked what was different this month, they wanted to argue, refuse to get a supervisor on the phone. I have now been hung on 3 different times."
"Tampa, FL",9/19/2025 0:00,2,"T-Mobile customer service is the worse of the worse. The English is not understandable. They promise they will do what we discuss and not follow thru. Next thing you know your bill is jacked up. English needs to be taught. Everyone is called either, Chris, Michelle, Nico or David. What are the foreign really names."
"Colton, CA","Sept. 19, 2025 I don",3,"I don't understand when you go pay your bill at the T-Mobile store, why they charge $5.00 for me to PAY MY OWN BILL???? I don't do nothing online, but if I pay cash, they charge me!!! That doesn't make any sense!! This is the only service that does that!!! Getting ready to switch back to AT&T, better service and getting their internet!!!! My bill is $98.00 every month, go pay at the store, it's $103.00... time to go!!!"
"Moncks Corner, SC","Sept. 19, 2025 The worst experience I had in my life, that T",3,"They kept changing back and for my plans telling me to trust them it will cost the same as $169 but that never really happened. It went back to $200 or $240 and I supposed to proof my work perk again, etc., but they never gave me $169 anymore. After three months, I ended up cancelling my account because all they do is just promising but not giving anything. I wanted to bring two phone lines from Verizon to T-Mobile with the offer Experience Beyond. iPhone On Us with a work perk 15% discount would be $140 and an extra BYOD data tablet which would be + $5 and 256GB iphone upgrade another +5$ for $150, but I ended up paying $240, even after they promised they will reduce it to $169 but that promise disappeared a month later. I ended up giving up and payout all 3 phones for $2800, after my first bill was $424, and my second supposed to be $302, but that was reduced to $169 after my complains. So Pretty much I had to buy 3 iphone from them, that I did not even needed because I already had two iPhones. Only 1 year older versions. This company and their empty promises cost me around $3300 for only 3 months period. Now I am trying to sell the phones that they gave me at least to get some money back. I was a T-Mobile customer in Europe for 16 years and never had any problems. I have been with Verizon for 10 years in the USA, switching to T-Mobile was my biggest mistake that I ever made. Oh they also told me one time that I should read the contract, meaning what they tell me might not 100% right. Well shame on me. Ok I got it, how about not making any deal with T-Mobile anymore for the rest of my life!"
"Chicago, IL","Sept. 19, 2025 They lie and say they will pay up to 800 to pay off your old plan but they cancel the payment all the time. Then when you call them they assure it",2,They lie and say they will pay up to 800 to pay off your old plan but they cancel the payment all the time. Then when you call them they assure it's been approved but then the next day you see it denied again. Also the tech deleted all my videos and contacts right before they were suppose to transfer it. He totally factory reset the phone and it had all my family's pictures over years of kid and their first and growing up.
"Palestine, TX",9/18/2025 0:00,18,"** Seen this commercial and thought about switching? High dont recommend it, been with Verizon for 15 years, switched to T-Mobile 5 days ago because I was having service issues with Verizon, I got thr best plan with T-mobile with the Starlink access, that says you can virtually send a text at least from anywhere, this is so no true, I have the same service issues in the same places as I did with Verizon even with the 600 or whatever starlink satellites they say they have."
"Massillon, OH","Sept. 18, 2025 On September 11, 2025, I made a monthly payment for service through TMobile",2,"I called to discover each call to customer service costs me $10.00. It was for nothing. They stated I did not have a payment arrangement, even though I was looking at it on their app. They said I needed to set up and arrangement or pay it. They sent me to their automated system to set up another arrangement which is FREE. My service was turned back on, but not before getting an additional $30.00 from me: $10.00 for the phone call and $20.00 to turn my service back on which was arranged a week before. I do not think I should be charged to talk to someone for a service I am paying for and I think this was a ploy to get a restoration fee."
"Bellevue, WA","Sept. 18, 2025 I purchased a phone a few days ago and two days later the service stopped. I called customer service who said he couldn",18,"I purchased a phone a few days ago and two days later the service stopped. I called customer service who said he couldn't re-activate the phone, but transferred me to tech support. After reading off SIM numbers and other IDs, the technician concluded he could not activate the phone and transferred me to the high security activation team. That team member tried to text me a link so I could take a picture of my ID, then upload back to him. He apparently didn't understand that T Mobile had deactivated my phone, hence no text capabilities. He then emailed me a link, asked me to open, take the pic of the ID, then text back the image to him. Again, I had to explain I had no phone service. He finally said he had done all he could and told me I was out of luck. Terrible support service. I had Verizon for seven years without a problem; I'm on T-Mobile for two days and don't have a phone that works."
"Reno, NV","Sept. 18, 2025 I signed up for T",18,"I signed up for T-Mobile because I was trying to save $$. I changed my mind after talking to friends that live near me so I returned the product unopened the day after I received it-returned to a store not mail. Then I received a charge on my debit card for the monthly service, I guess whoever did the return didn't close my account. Anyway...I called and the lady was vey nice and said I'd receive a refund. A week later no refund, Had to call back, talk to various people just to hear I had to wait until the end of their billing cycle to get my refund that shouldn't have been charged in the first place. So I wait. I checked my account. Still no refund. I guess I was supposed to call back again at the end of their billing cycle and ask them. Total crap! big waste of time. Not worth it at all. I 1000% do not recommend! I'd give -stars if I could."
"Oakridge, OR","Sept. 18, 2025 I would give them less stars if I could. They lied about a promotion then didn",2,"I would give them less stars if I could. They lied about a promotion then didn't give us the $800/line credit for switching phones, our bill that was suppose to go to 280 went to 423. I tried for months to get it fixed. They can never help when I have an issue. Worst customer service I've ever experienced. They cost me $5832 dollars."
"Memphis, TN","Sept. 17, 2025 I had a 2",17,"I had a 2'yr contact with T-Mobile. That's over, I changed to Mint Mobile which is owned by Tmobile. I recently lost my job because of Trump's BS and had to go with prepaid since I couldn't afford 3 months up front with mint. Can you take my service off the two cans and a string and give me some service that works? I paid almost the same amount as I was paying for post paid. How can the service be that freaking bad on prepaid. It's 100° outside where I'm at. Why do I have to go outside to use service from the same company? $70 to sit in the heat and hope I get service. Why am I back here? I should have ordered Safelink. Hey at least I know what to expect with safelink. I know I will never call that company again as long as I live. Tmobile just made #2 on that list. I AM NOT PATIENTLY WAITING FOR NOTHING! I will go phoneless before I ever call another phone company to ask ""WHY""?????? Ughhhh."
"Culver City, CA","Sept. 17, 2025 Terrible reception everywhere, even though I have 5G, Technical support takes so much of my time with protocol talking and doesn",17,"Terrible reception everywhere, even though I have 5G, Technical support takes so much of my time with protocol talking and doesn't solve the problem. They apply international charges from Canada to the US when they say they don't, when I called for information. Don't get T-Mobile. I have been too lazy to change companies, but I will have to."
"Fort Myers, FL","Sept. 17, 2025 This service is terrible. Nothing ever works. You are constantly trying to get ahold of someone and it takes hours just to get a simple problem resolved. I will be going somewhere else. I can",17,This service is terrible. Nothing ever works. You are constantly trying to get ahold of someone and it takes hours just to get a simple problem resolved. I will be going somewhere else. I can’t take this anymore. If I’m paying for a service It needs to work.
"Miami, FL","Sept. 17, 2025 I closed my account due to constant poor internet connection and very poor customer service. The internet was very slow. Almost not there at all. Yet I was paying",3,I closed my account due to constant poor internet connection and very poor customer service. The internet was very slow. Almost not there at all. Yet I was paying $65 a month. When I pay my bill by phone they charged additional $10. For that service. Since my disconnection I. Keep being billed $7.a month for late fees?? But I don’t have an account! Can’t use the automatic phone service because I don’t have an account to verify. Can’t talk to a representative because I don’t have account to verify. The app is useless because I no longer have an account. Can you see the nightmare this has become? If I don’t pay the 7$. a month it will compound and count against my credit too. What am I supposed to do? Keep paying $7. a month till the end of time? I’ll hand write a letter to customer relations today and certify mail it. My only other choice is to hire an attorney. T-Mobile has to be stopped somehow. I owe them nothing. What a nightmare!!
"Port Saint Lucie, FL","Sept. 17, 2025 Been with T",2,"Been with T-Mobile 8 plus year, so, so coverage & rate hikes, but worst of all when I transfer my lines to another carrier early this year & try to cancel theirs multiple ways, but I’m told I can do nothing w/o a 4 digit code that sent to their old line with that no longer exist to get it. Stuck paying $200 bill monthly with no way out even tho I pay the new carrier for the same transferred lines for many months now. W/o the code they say I have no authority over the account, but I’m still liable to the bill on service not provided. This security tactic bondage scam is sickening. Thieves, I’ll have to take to court to make bills stop & recoup $1000’s it’s looking like."
"Columbia, SC","Sept. 17, 2025 Much like others, we were deceived",17,"Much like others, we were deceived (actually, I'll say it, LIED to) by the salesman (known as ""D""). You name it, he lied about it...amount to activate lines, being able to mail the items to a different address, being able to easily activate our multiple lines in multiple locations, even the case and screen protector pricing...He was wrong and/or outright lied about all of it. Was switching from Verizon because of repeated poor customer service...and wow, I think T-Mobile may have beat them, and I wasn't even a customer yet! If I was able to rate this at minus 5 stars, I likely would."
"Maryville, TN","Sept. 16, 2025 If I could rate them in negative numbers, I would. DO NOT believe ANYTHING T",2,"If I could rate them in negative numbers, I would. DO NOT believe ANYTHING T-Mobile tells you!!!! They lied and promised me rebates for switching. I have been waiting over 3 months, and they have every excuse in the book to not pay out. They also are charging me double what I was told it would be. The service is also AWFUL. It is slow and never works. I will keep fighting until they pay up. I have probably spent 8 hours of my time on the phone trying to work this out. I am OVER it."
"Decatur, GA","Sept. 16, 2025 I have never spent the whole weekend and two days at a phone carrier store. Friday 6 whole hrs. Saturday 2 hours, Sunday 1hr, Monday 1 hr, Tuesday 30 minutes. Tuesday was the worst experience, the store was smelling like weed, the gentlemen had words with another person and said he wasn",16,"So l got to another store to get some help, the store on Moreland Ave. Wonderful customer service. Fixed the problem in 1 minute. Told me those ear bugs work with a different cord. I said why didn’t they tell me that instead of saying my iPhone cord would work but it didn’t so l had to purchase a cord and a block. I don’t understand how TMObile don’t know their product and say anything. Especially when l switched over from metro, the gentleman one the phone lied about everything he was telling me about tmobile was a lie. I didn’t even know he ran my credit. He lied about the cost, the protection plan, unbelievable. But l do like my phone and the service with TMObile and also the internet was so easy to hook up. The South Harrison store was the worst crew ever, including the Manager. I never seen a worker say, l didn’t make no money off you yesterday, l don’t really have to help you. Unbelievable. I will be writing corporate too."
"Hamilton, OH","Sept. 16, 2025 The store on Main St in Hamilton, Ohio the staff is rude and not helpful even the manager is rude. When you call or chat it always takes way too much time to resolve anything. They are nicer but most of the time they cannot resolve your issue. I am beyond frustrated for 3 weeks. I have been working on the same issue and have spent multiple times on the phone or in person to trying to get help. Thanks for your vote",16,"The store on Main St in Hamilton, Ohio the staff is rude and not helpful even the manager is rude. When you call or chat it always takes way too much time to resolve anything. They are nicer but most of the time they cannot resolve your issue. I am beyond frustrated for 3 weeks. I have been working on the same issue and have spent multiple times on the phone or in person to trying to get help."
"Miami, FL","Sept. 16, 2025 Terrible customer service and deceitful. We signed up over the phone through an account representative and were planning on getting new phones and bringing over our two phone lines. We discovered not only did she create temporary lines for us",16,"We spent 3 HOURS in the store with the manager and on the phone with customer service. FINALLY, we received confirmation that our phone lines were canceled, and we were sent a return label for the phones. A month later, we received a phone bill from T-Mobile for the 2 lines that we had canceled a month ago and never used! We called customer service and they informed us that the bill would be taken care of. We just received ANOTHER bill today for late fees from the phone bill from the previous month of services that we never used or activated."
"New Orleans, LA","Sept. 16, 2025 Text message issues. My texts aren",16,"Text message issues. My texts aren't being received. A week now. Sent everywhere. No resolution. Spoke with ""Ms. **"" on September 15, 2025. She went BEYOND in her efforts to assist me. She gave me huge hope for the Customer Care service. My husband and I need to find PIN number, so resolution not found, but ""Ms. **"" showed excellence in her efforts to troubleshoot every other way. Each store I've encountered did nothing to help us. 5 years Customers. Thank God for people like ""Ms. **."" Mrs. Phyllis **. New Orleans, Louisiana. I'm praying for a resolution. My husband can only communicate via text on job. SOME PLEASE HELP. THANK YOU ""MS. **."""
"Lakewood, NJ","Sept. 16, 2025 Terrible service. Customer service is the worst. I called to cancel an iPad line and was told it would be cancelled. Months later I am still being charged for it. I called up to complain, customer service",2,"Terrible service. Customer service is the worst. I called to cancel an iPad line and was told it would be cancelled. Months later I am still being charged for it. I called up to complain, customer service (from which ever country he was from) told me since there was data usage on the iPad, even if he were to process a refund. There would still be an automatic charge because of usage and if I would not pay that amount it would be reported to the credit bureau and affect my credit. As if the data usage that was incurred was my fault!!! Even while I was a customer with them It was the worst experience ever. It’s such a pleasure not to be with them anymore."
"Cleveland, OH","Sept. 15, 2025 Service barely works even at our house and the store. Has to return the home Internet as it could not even hold one items. Multiple connections killed it all together. I was told they had the best connection but the other main providers we had no issues with just T",2,Service barely works even at our house and the store. Has to return the home Internet as it could not even hold one items. Multiple connections killed it all together. I was told they had the best connection but the other main providers we had no issues with just T-Mobile.
"Lancaster, CA","Sept. 15, 2025 When wanted to upgrade phones, store representative was acting as",2,"When wanted to upgrade phones, store representative was acting as ""it's not our problem, you need to call insurance for replacement"". Decided to switch to another provider, this is when I learned that I have extra watch line and extra streaming line, I wasn't aware. When attempted to cancel lines on 8/24 was told that their billing ends on 22nd and now have go wait until 9/22 to pay another bill for month without using actual services. When attempted to pay bill that was due on 9/15, was unable to pay it online or over the phone. Paperless account with no T-Mobile number attached. Had to drive to store more than 10 miles away to pay September bill. Spent an hour with customer service in the store to learn that after 9/22 will be another bill and have to drive to the store to find out amount and to confirm that it was really final bill. I was Sprint and then T-Mobile customer after merge for 20 years. Never again."
"New Britain, CT","Sept. 15, 2025 So I was having internet issues. YAMBO who goes by Elissa at Windsor CT WAS ABSOLUTELY A GEM",15,"So I was having internet issues. YAMBO who goes by Elissa at Windsor CT WAS ABSOLUTELY A GEM!!!! She was professional, knowledgeable and rectified my issues with internet by upgrading my hardware. She walked me through the process and my wifi is perfect now!! I recommend her 1000 percent."
"Colton, CA",9/15/2025 0:00,15,T-mobile customer service has gotten better all of a sudden! I'm not sure what they changed but they're beating. Their representatives have really put in the efforts to help me and make the necessary and fair adjustments to my bill. I'm satisfied & have no complaints thanks to the efforts of their customer team! I've been a customer at EVERY cell phone carrier in my adult life and T-mobile has beaten their competition at the level of good customer service provided to me.
"Barnegat, NJ","Sept. 15, 2025 After 22 years as a loyal T",15,"What’s been even more disheartening is the endless, exhausting cycle of reaching out for help. I’ve spoken with countless customer service reps, managers, supervisors, and technicians over the past year, hoping for a resolution. Instead, I’ve been met with empty scripts, repetitive advice, and solutions that lead nowhere. It feels like shouting into the void, with no one truly listening or caring. It’s incredibly disappointing to realize that after two decades of loyalty, my trust in T-Mobile has been met with inefficiency, indifference, and a lack of genuine support. This experience has left me not just frustrated, but deeply disillusioned. Buyer beware— Loyalty means little when issues arise, and you may find yourself navigating the same disheartening path."
"Sea Cliff, NY","Sept. 15, 2025 Yesterday, I lost my phone. Needless to say, I am devastated. Besides losing personal photos and texts, my office phone was forwarded to my cell. I require 24",15,"I was immediately asked for my passcode, which I do not recall setting up. I explained my situation. My primary request was for immediate assistance in accessing my voicemail and restoring essential phone services, as my business cannot operate without them but they refused to help despite my urgent circumstances. They told me to log in and change my passcode. Frantic at the time, I was unable to remember my password (I rarely log in). I selected ""Forgot Password,"" expecting to receive a link by email. Instead, the screen said a text had been sent to my phone –the phone which is now likely lost at the bottom of the Atlantic Ocean. I was also told, dismissively, to visit a T-Mobile store, but all New York locations were closed at night. Shortly after, I remembered my password and tried to enter it, but at that point, I was locked out for 24 hours—not just a short time like most companies do. I spoke to someone in tech support, hoping they would lift the block. Surely, technology being what it is today, this can certainly be done, but they refused. Not being able to access your account --especially in such extenuating circumstances is pure madness! This ordeal has left me without sleep, extremely upset, and distressed. I urgently seek not just a resolution for my current situation, but a clear assurance from T-Mobile that no customer—especially someone running a critical business—will have to endure such frustration in the future."
"Flagstaff, AZ","Sept. 14, 2025 T Mobile has been overcharging repeatedly and then when I had a phone fail they sent me two different replacements that DID NOT WORK. My bill has jumped",14,T Mobile has been overcharging repeatedly and then when I had a phone fail they sent me two different replacements that DID NOT WORK. My bill has jumped $200 and they will not give me a breakdown as to why or how.
"Thornton, CO","Sept. 14, 2025 The worst telephone customer support I have ever experienced. T",14,"The worst telephone customer support I have ever experienced. T-Mobile has outsourced their customer support to a foreign organization that couldn't care less. They will keep you waiting on the line for hours. If you complain In any way they will even hang up on you after putting you on hold for more time. It happened to me and my wife on different calls. I will never so much as consider being a T-Mobile customer again. If you ever have a problem with T-Mobile service and try to get it resolved over the phone, you're in for a a lot of frustration and disappointment."
"Chicago, IL","Sept. 14, 2025 I had a worst experience with their customer service team. They deceive me by misleading because not everyone know their job or good trained especially managers have no time to talk to with customers directly. So be careful. I was misleaded by them and when I keep calling for my issue and hold for 3 hours each time no solution and manager has no time to listen a problem. I got loss of",2,"I had a worst experience with their customer service team. They deceive me by misleading because not everyone know their job or good trained especially managers have no time to talk to with customers directly. So be careful. I was misleaded by them and when I keep calling for my issue and hold for 3 hours each time no solution and manager has no time to listen a problem. I got loss of $800 and how they told me to check company policy and long ass contract, that nobody reads. In short I switch a line from AT&T to T-Mobile and they offer me credit of $800 for new phone. Unfortunately my phone has manufactured defect and when I return my phone even within return policy and ask for new phone they said they won't give me my $800 credit back promotion for new phone as a replacement. WTF. They make me fool. Now I'm going to switch my line with other carrier."
"Santa Ana, CA","Sept. 14, 2025 I am writing to formally express my dissatisfaction with the service I received at T",2,"I am writing to formally express my dissatisfaction with the service I received at T-Mobile Granada Hills store (17921 Chatsworth St, Ste 34b, Granada Hills, CA 91344) today. A staff member named ** demonstrated unprofessional behavior during my visit. While multiple customers were waiting, ** attended to a client, who briefly left the store to buy cookies and then returned. Instead of serving the next waiting customers, ** went inside for couple of minutes and then waited for that customer until they are back to store. Continued to prioritize them. This resulted in excessive waiting times for others, including myself, and created a frustrating experience. By the way this my second time im facing bad experience with **."
"Ashburn, VA","Sept. 13, 2025 I just received terrific in",13,"I just received terrific in-store service at the T-Mobile store in Willow Street, PA. There the manager, Terrell, gave me attentive service despite having to take care of 3 customers at the same time. He helped me move from another carrier despite difficulties caused by both that carrier and T-Mobile corporate. A shout-out to a deserving young man."
"Nashville, TN","Sept. 13, 2025 My services were removed from Xfinity by T",13,"My services were removed from Xfinity by T-Mobile before rep knew my needs or current equipment. 6 days later, still unresolved...may cost me $$$ for Xfinity to fix. Disastrous Nightmare for senior citizen..."
"Dayton, OH",9/13/2025 0:00,2,"I called T-mobile customer service to explain what happened and request that my money be refunded and the contract for the purchase of the faulty mobile hotspot be cancelled. But was told that since I signed a contract they would not refund my money or cancel the contract. T-Mobile is completely unethical in how they handled a mistake made by their sales force. Apparently rendering good customer service does not matter. I'll never buy anything else from T-mobile until they reimburse me for the faulty mobile Hot-spot they sold me which failed after 4 months. I recommend that you do your research and have your own knowledge about their products because some of the sales people at T-Mobile just tell lies, to sell products that are incapable of meeting your needs. Then management does nothing to make it right when you lodge your complaint."
"Greenwood, IN","Sept. 13, 2025 Having an issue with them,",13,"Having an issue with them, ""throttling"" my service towards due date, (not a data issue). They never transferred my old number, charge $15 if ""extension payment"" doesn't go through at 8.a.m., even though they are paid that day, lied about cheaper rates and charge $20 reactivation fee on EVERY device if you miss a payment. Payment schedule is worse than a credit card's schedule. Tries to confuse customer. Go somewhere else, they promote a lot but don't keep their word."
"US, US","Sept. 13, 2025 Can",13,"Can’t place or receive call when I’m in Taiwan. It needs to be get permission in USA before you travel to Taiwan. I bought the plan while I was in Taiwan and there’s no way to have it turn on, waste of money."
"Sacramento, CA","Sept. 13, 2025 Mixed attitude re",13,"Mixed attitude re: T-Mobile. I got signed up quickly, but did not get the phone number transfer from AT&T I asked for. The prices was good for the 5 G service with unlimited data. The 5-year hold on price impressed me. My speed has fluctuated from about 380 - 550 mbps, which is okay with me. My only problem is the drops in connection, which happen too often."
"Kansas City, MO","Sept. 13, 2025 I threw my 15",13,"I threw my 15 $ charger in the trash but I bet they just let somebody take it. 3 stars, but the phones are super good, but they lost my 15 $ charger in the trash apparently, like they said we can leave our bag there when we go to the hospital for my dad and get something to eat, but they let somebody take it because they wouldn’t throw away a charger box thing, and an actual charger."
"Cleveland, OH","Sept. 12, 2025 I had a question about billing and I dialed 611 their customer service line and said there would be a",2,I had a question about billing and I dialed 611 their customer service line and said there would be a $10 charge to speak to an agent! I’m sorry after 7 years time to go elsewhere! I always thought they were the best.
"Atlanta, GA","Sept. 12, 2025 I no longer have T",12,"I no longer have T-Mobile because they were charging me a fortune. I changed providers BUT I forgot to cancel my MOBILE HOT SPOT from T-MOBILE. No matter how many times I call or go online to chat, they can't do ANYTHING to help me. I'm still being billed for this hotspot that I have tried to cancel for the last 2 weeks. Their online chat SUCKS & I don't like using that word, but it does. They keep telling me to log in over & over again. Then the chat tells me to call & they are even worse! They are IMPOSSIBLE TO CANCEL unless you switch to another provider to include the hotspot, if you have one. They literally give you a LIVING HELL to cancel. They continue to bill me for this mobile hotspot that I PURCHASED OUTRIGHT & they are charging me monthly because they REFUSE to cancel this account for me. HOW CAN THEY JUST KEEP STEALING FROM CUSTOMERS? In my opinion, they are awful & very dishonest."
"Fullerton, CA","Sept. 12, 2025 I just have the worst customer service experience with T",12,"Once I docked I had to use another passenger's phone. I spent 3 hours on the phone with T-Mobile. They restored my services and once again another supervisor Alejandro told me that he was going to credit my account for the $338 worth of Roman charges I had accrued because T-Mobile dropped the ball and since I've had two other Representatives tell me that they were going to honor what the previous manager said take care of all my charges. I spoke with a Roy on August 20th however since then I've spoken to an Elizabeth and an Emily and an Amanda and they have all told me several different things and had the nerve to gaslight me and tell me that I never spoke to any T-Mobile representative. They weren't even further and said that all they were going to do is pay for half of my fees which have now increased to a $1,000. How did I go from 338 to $1,000 in roaming charges when I'm I've been on land and I've asked him to pull the conversations that I have text message approved. I have emails I have voice messages proof of these supervisors that promise me they're going to take care of my roaming charges and instead of taking care of everything everybody's been giving me the runaround. I'm at a point where I'm about to sue T-Mobile once and for all. I've been loyal to them for 9 years but they have shown me zero loyalty. I even reached out to their so-called corporate president!!!! T-MOBILE IS TRASH!!!!"
"Fontana, CA","Sept. 12, 2025 Do not sign up for t mobile. They will make it living hell to cancel. I got a new service provider 4 months ago and I am still trying to cancel their services. Just this month they billed me for non return or internet box which I sent same week they sent me the label. As far as cancelling phone line that also took way longer than needed and they charged me for time I was not using phone. Thanks Julian",3,Do not sign up for t mobile. They will make it living hell to cancel. I got a new service provider 4 months ago and I am still trying to cancel their services. Just this month they billed me for non return or internet box which I sent same week they sent me the label. As far as cancelling phone line that also took way longer than needed and they charged me for time I was not using phone.
"Manahawkin, NJ","Sept. 12, 2025 Tmobile is fantastic. NEVER had a problem With customer service, always there to lend a helping hand and will stay on the line until everything is resolved and the store in Lanoka is also very helpful. A",12,"Tmobile is fantastic. NEVER had a problem With customer service, always there to lend a helping hand and will stay on the line until everything is resolved and the store in Lanoka is also very helpful. A+"
"San Francisco, CA","Sept. 12, 2025 They lied from the start, I was warned but I tried anyway. I never got my phone number, and they STILL stole my money a few weeks later. NO CUSTOMER SERVICE. They told me if I canceled I would get my",12,"They lied from the start, I was warned but I tried anyway. I never got my phone number, and they STILL stole my money a few weeks later. NO CUSTOMER SERVICE. They told me if I canceled I would get my >$100 back but when they couldn't provide me service, they used my credit card that I used to buy the sim card. RIPOFF ARTISTS."
